,Entity,Code,Year,Risk,Number of cases
0,World,OWID_WRL,1990,Outdoor air pollution,2254550
1,World,OWID_WRL,1990,High systolic blood pressure,6787715
2,World,OWID_WRL,1990,Diet high in sodium,1320338
3,World,OWID_WRL,1990,Diet low in whole grains,1178222
4,World,OWID_WRL,1990,Alcohol use,1639872
5,World,OWID_WRL,1990,Diet low in fruits,795603
6,World,OWID_WRL,1990,Unsafe water source,2442071
7,World,OWID_WRL,1990,Secondhand smoke,1161963
8,World,OWID_WRL,1990,Low birth weight,3033425
9,World,OWID_WRL,1990,Child wasting,3430422
10,World,OWID_WRL,1990,Unsafe sex,429992
11,World,OWID_WRL,1990,Diet low in nuts and seeds,431074
12,World,OWID_WRL,1990,Household air pollution from solid fuels,4358214
13,World,OWID_WRL,1990,Diet low in vegetables,466447
14,World,OWID_WRL,1990,Low physical activity,452167
15,World,OWID_WRL,1990,Smoking,5868490
16,World,OWID_WRL,1990,High fasting plasma glucose,2910089
17,World,OWID_WRL,1990,Air pollution,6501226
18,World,OWID_WRL,1990,High body-mass index,2198130
19,World,OWID_WRL,1990,Unsafe sanitation,1836465
20,World,OWID_WRL,1990,No access to handwashing facility,1200094
21,World,OWID_WRL,1990,Drug use,235888
22,World,OWID_WRL,1990,Low bone mineral density,207367
23,World,OWID_WRL,1990,Vitamin A deficiency,207555
24,World,OWID_WRL,1990,Child stunting,833449
25,World,OWID_WRL,1990,Discontinued breastfeeding,33106
26,World,OWID_WRL,1990,Non-exclusive breastfeeding,505470
27,World,OWID_WRL,1990,Iron deficiency,73461
28,World,OWID_WRL,1991,Outdoor air pollution,2297976
29,World,OWID_WRL,1991,High systolic blood pressure,6888724
30,World,OWID_WRL,1991,Diet high in sodium,1331430
31,World,OWID_WRL,1991,Diet low in whole grains,1197636
32,World,OWID_WRL,1991,Alcohol use,1676081
33,World,OWID_WRL,1991,Diet low in fruits,805993
34,World,OWID_WRL,1991,Unsafe water source,2450944
35,World,OWID_WRL,1991,Secondhand smoke,1165940
36,World,OWID_WRL,1991,Low birth weight,2997799
37,World,OWID_WRL,1991,Child wasting,3357212
38,World,OWID_WRL,1991,Unsafe sex,500512
39,World,OWID_WRL,1991,Diet low in nuts and seeds,436096
40,World,OWID_WRL,1991,Household air pollution from solid fuels,4320449
41,World,OWID_WRL,1991,Diet low in vegetables,463371
42,World,OWID_WRL,1991,Low physical activity,460918
43,World,OWID_WRL,1991,Smoking,5969962
44,World,OWID_WRL,1991,High fasting plasma glucose,2980426
45,World,OWID_WRL,1991,Air pollution,6504209
46,World,OWID_WRL,1991,High body-mass index,2257566
47,World,OWID_WRL,1991,Unsafe sanitation,1842275
48,World,OWID_WRL,1991,No access to handwashing facility,1200349
49,World,OWID_WRL,1991,Drug use,252439
50,World,OWID_WRL,1991,Low bone mineral density,211921
51,World,OWID_WRL,1991,Vitamin A deficiency,203552
52,World,OWID_WRL,1991,Child stunting,817068
53,World,OWID_WRL,1991,Discontinued breastfeeding,32318
54,World,OWID_WRL,1991,Non-exclusive breastfeeding,497187
55,World,OWID_WRL,1991,Iron deficiency,72379
56,World,OWID_WRL,1992,Outdoor air pollution,2356222
57,World,OWID_WRL,1992,High systolic blood pressure,7023442
58,World,OWID_WRL,1992,Diet high in sodium,1348867
59,World,OWID_WRL,1992,Diet low in whole grains,1223711
60,World,OWID_WRL,1992,Alcohol use,1723426
61,World,OWID_WRL,1992,Diet low in fruits,821077
62,World,OWID_WRL,1992,Unsafe water source,2425768
63,World,OWID_WRL,1992,Secondhand smoke,1173047
64,World,OWID_WRL,1992,Low birth weight,2967333
65,World,OWID_WRL,1992,Child wasting,3258024
66,World,OWID_WRL,1992,Unsafe sex,584801
67,World,OWID_WRL,1992,Diet low in nuts and seeds,444219
68,World,OWID_WRL,1992,Household air pollution from solid fuels,4289112
69,World,OWID_WRL,1992,Diet low in vegetables,462741
70,World,OWID_WRL,1992,Low physical activity,472631
71,World,OWID_WRL,1992,Smoking,6091137
72,World,OWID_WRL,1992,High fasting plasma glucose,3067244
73,World,OWID_WRL,1992,Air pollution,6526572
74,World,OWID_WRL,1992,High body-mass index,2336617
75,World,OWID_WRL,1992,Unsafe sanitation,1822787
76,World,OWID_WRL,1992,No access to handwashing facility,1190922
